County,Date,Predicted EVs
Skamania,2024-07-29,174.94
Kittitas,2024-07-29,446.72
San Juan,2024-07-29,414.0
Pierce,2024-07-29,5612.28
Pend Oreille,2024-07-29,34.81
Skagit,2024-07-29,999.62
Kitsap,2024-07-29,2888.83
Douglas,2024-07-29,218.53
Cowlitz,2024-07-29,541.45
Columbia,2024-07-29,29.13
Ferry,2024-07-29,37.56
Whitman,2024-07-29,147.1
Clallam,2024-07-29,445.29
Chelan,2024-07-29,480.58
Clark,2024-07-29,5710.47
Benton,2024-07-29,978.63
King,2024-07-29,21021.12
Spokane,2024-07-29,2027.63
Walla Walla,2024-07-29,240.61
Jefferson,2024-07-29,611.06
Whatcom,2024-07-29,1753.29
Grays Harbor,2024-07-29,473.87
Grant,2024-07-29,257.98
Garfield,2024-07-29,22.75
Franklin,2024-07-29,414.96
Island,2024-07-29,908.81
Yakima,2024-07-29,566.78
Adams,2024-08-29,31.49
Asotin,2024-08-29,45.12
Klickitat,2024-08-29,228.82
Wahkiakum,2024-08-29,37.93
Lewis,2024-08-29,377.18
Lincoln,2024-08-29,15.46
Mason,2024-08-29,422.13
Okanogan,2024-08-29,307.85
Pacific,2024-08-29,136.4
Thurston,2024-08-29,2616.55
Snohomish,2024-08-29,4590.04
Stevens,2024-08-29,350.27
Skamania,2024-08-29,177.36
Kittitas,2024-08-29,440.17
San Juan,2024-08-29,476.62
Pierce,2024-08-29,5610.89
Pend Oreille,2024-08-29,36.99
Skagit,2024-08-29,1023.89
Kitsap,2024-08-29,2893.58
Douglas,2024-08-29,211.11
Cowlitz,2024-08-29,515.05
Columbia,2024-08-29,30.93
Ferry,2024-08-29,37.35
Whitman,2024-08-29,161.84
Clallam,2024-08-29,485.91
Chelan,2024-08-29,519.86
Clark,2024-08-29,5690.62
Benton,2024-08-29,958.08
King,2024-08-29,20297.03
Spokane,2024-08-29,1849.57
Walla Walla,2024-08-29,247.85
Jefferson,2024-08-29,593.92
Whatcom,2024-08-29,1814.93
Grays Harbor,2024-08-29,448.64
Grant,2024-08-29,273.5
Garfield,2024-08-29,26.21
Franklin,2024-08-29,399.88
Island,2024-08-29,1220.2
Yakima,2024-08-29,543.35
